東京スカイツリー,カスタム名詞,トウキョウスカイツリー
こんにちは,あいさつ,コンニチハ
おはよう,あいさつ,オハヨウ
こんばんは,あいさつ,コンバンハ
どーも,あいさつ,ドーモ
